Disease_Name_English,Disease_Name_Spanish,Diagnosis,Treatments,Tests,Medications_Drugs
Anemia,Anemia,"Diagnosis involves reviewing medical and family history, performing a physical exam, and ordering blood tests, including a complete blood count (CBC) to measure hematocrit and hemoglobin levels;  a test to assess red blood cell size, shape, and color; and, in some cases, bone marrow study.","Iron supplements; Dietary changes; Blood transfusion; Erythropoietin injections; Medications; Chemotherapy; Bone marrow transplant; Vitamin B12 shots; Folic acid supplements;  Oxygen therapy; Pain relievers; Intravenous fluids;  Hydroxyurea (Droxia, Hydrea, Siklos); Splenectomy","Complete blood count (CBC); Red blood cell size, shape, and color assessment; Bone marrow study","Hydroxyurea (Droxia, Hydrea, Siklos);  Iron supplements; Folic acid supplements; Erythropoietin"
Angelman syndrome,Angelman syndrome,"Developmental delays, little to no speech, seizures, movement and balance problems, and small head size may suggest Angelman syndrome;  diagnosis is confirmed through genetic testing that identifies specific chromosomal changes or gene mutations.  Differential diagnosis is necessary as symptoms overlap with other syndromes.",Anti-seizure medication; Physical therapy; Occupational therapy; Communication and speech therapy (including sign language and picture communication); Behavior therapy; Sleep training; Diet changes; Medications to address feeding issues and constipation; Cognitive behavioral therapy,Blood test (DNA methylation test to screen for gene changes); Chromosomal microarray (CMA) to detect missing chromosome parts; UBE3A gene sequencing (if DNA methylation test results are typical); Electroencephalogram (EEG) to assess brain electrical activity,Anti-seizure medication; Medications to address feeding issues and constipation
Angina,Angina,Physical examination and patient history review focusing on symptoms and risk factors (including family history of heart disease);  Electrocardiogram (ECG or EKG) to assess heart electrical activity.,"Lifestyle changes (healthy diet, exercise); Medicines; Angioplasty and stenting; Coronary artery bypass grafting (CABG); Enhanced external counterpulsation (EECP)",Electrocardiogram (ECG or EKG); Chest X-ray; Blood tests (cardiac enzymes); Stress test; Echocardiogram; Nuclear stress test; Cardiac computed tomography (CT); Magnetic resonance imaging (MRI); Coronary angiogram,Nitroglycerin (Nitrostat); Aspirin; Clopidogrel (Plavix); Prasugrel (Effient); Ticagrelor (Brilinta); Beta blockers; Statins; Calcium channel blockers; Angiotensin-converting enzyme (ACE) inhibitors; Angiotensin 2 receptor blockers (ARBs); Ranolazine
Angiosarcoma,Angiosarcoma,"Angiosarcoma diagnosis involves a physical exam; tissue biopsy to detect cancer cells; and imaging tests such as MRI, CT, and PET scans to determine the extent of the cancer.",Surgery; Radiation therapy; Chemotherapy; Targeted drug therapy; Immunotherapy,Physical exam; Biopsy; MRI; CT; Positron emission tomography (PET),Information not found
Ankylosing spondylitis,Ankylosing spondylitis,"Physical exam assessing spinal range of motion and pain reproduction; Imaging tests (X-rays and MRI) to detect changes in joints and bones, with MRI being more sensitive for early detection of nonradiographic axial spondyloarthritis; Blood tests for markers of inflammation (though not specific to ankylosing spondylitis) and HLA-B27 gene (though not definitive).",Medications; Physical therapy; Surgery,X-rays; MRI; Blood tests for inflammation markers; HLA-B27 gene test,"Naproxen sodium (Aleve); Ibuprofen (Advil, Motrin IB); Adalimumab (Humira); Certolizumab pegol (Cimzia); Etanercept (Enbrel); Golimumab (Simponi); Infliximab (Remicade); Secukinumab (Cosentyx); Ixekizumab (Taltz); Tofacitinib (Xeljanz); Upadacitinib (Rinvoq)"
Anorexia nervosa,Anorexia nervosa,"Diagnosis involves a physical exam (measuring height and weight, checking vital signs, skin and nails, heart and lungs, and stomach area); lab tests (complete blood count, electrolyte and protein checks, liver, kidney, and thyroid function tests, urinalysis); and a mental health evaluation assessing thoughts, feelings, and eating habits.  X-rays may be used to check bone density, stress fractures, broken bones, pneumonia, or heart problems; electrocardiogram may be used to check for heart issues.","Hospital stays; Day treatment programs; Residential treatment programs; Specialized eating disorder programs; Nasogastric tube feeding (in severe cases); Family-based therapy (FBT for teenagers); Nutritional counseling; Psychotherapy; Medical monitoring of vital signs, hydration, and electrolytes;  Supplements (e.g., vitamin D, as recommended by a healthcare professional)",Physical exam; Complete blood count (CBC); Electrolyte and protein blood tests; Liver function tests; Kidney function tests; Thyroid function tests; Urinalysis; X-ray; Electrocardiogram (ECG or EKG); Bone density test,Information not found
Anorgasmia in women,Anorgasmia in women,"Review of medical history; general medical exam; pelvic exam; questionnaire about sexual experiences, partners, feelings about sexual experiences, types of stimulation/sexual activity; interview with patient and potentially partner.","Lifestyle changes; education about female sexual anatomy; directed masturbation; sensate focus exercises; changes in sexual positions; sexual enhancement devices (vibrators, air-pulsating devices, suction devices); cognitive behavioral therapy; hormone replacement therapy (estrogen therapy; testosterone therapy).",Information not found,Estrogen therapy; Testosterone therapy.
Anterior vaginal prolapse (cystocele),Anterior vaginal prolapse (cystocele),"Pelvic exam to observe tissue bulge in vagina; assessment of prolapse worsening with bearing down; evaluation of pelvic floor muscle strength by asking patient to stop urine stream; review of medical, surgical, and pregnancy history; bladder and urine tests to assess bladder emptying and check for infection.","Pelvic floor muscle exercises (Kegel exercises); Pessary; Surgery (vaginal, laparoscopic, robotic-assisted laparoscopic, open); Hysterectomy (if prolapse is linked with prolapsed uterus)",Pelvic exam; Urinalysis; Tests to assess bladder emptying,Information not found
Anthrax,Anthrax,Physician inquires about occupation and potential anthrax exposure; rules out other conditions like influenza or pneumonia; further testing may include skin testing of lesions or biopsies; blood tests; chest X-ray or CT scan (for inhalation anthrax); stool testing (for gastrointestinal anthrax); spinal tap (for suspected systemic anthrax).,"Antibiotics; Antitoxin; Surgical removal of infected tissue (in some injection anthrax cases); Intensive supportive care (including ventilators, fluids, and vasopressors).",Skin testing; Biopsy; Blood tests; Chest X-ray; CT scan; Stool testing; Spinal tap (lumbar puncture),Raxibacumab; Obiltoxaximab; Anthrax immunoglobulin; Antibiotics (specific antibiotic choice depends on various factors).
Antibiotic-associated diarrhea,Antibiotic-associated diarrhea,"The doctor will ask about health history, including recent antibiotic use; if *C. difficile* infection is suspected, a stool sample will be tested for the bacterium.","For mild diarrhea, discontinuation of antibiotics or allowing symptoms to resolve; for *C. difficile* infection, stopping current antibiotics and prescribing targeted antibiotics; avoiding stomach-acid-suppressing drugs; oral rehydration solution; bland diet avoiding dairy, fatty, and spicy foods;  loperamide (Imodium A-D) may be recommended for mild cases (but not for *C. difficile* infection); probiotics may be considered, but their effectiveness isn't conclusive.",Stool test for *C. difficile*,Loperamide (Imodium A-D); Antibiotics targeted to kill *C. difficile* (specific antibiotics not named)
Antiphospholipid syndrome,Antiphospholipid syndrome,"Antiphospholipid syndrome is diagnosed by the presence of antiphospholipid antibodies in the blood on at least two occasions, 12 or more weeks apart.  A diagnosis is only made when these antibodies cause health problems, such as blood clots or pregnancy loss.",Blood-thinning medications;  Heparin; Warfarin; Aspirin; Hydroxychloroquine; Rituximab; Statins (more study needed),Blood tests to check for clotting and the presence of antiphospholipid antibodies,Heparin; Warfarin (Jantoven); Aspirin; Hydroxychloroquine (Plaquenil); Rituximab (Rituxan); Statins
Antisocial personality disorder,Antisocial personality disorder,"Diagnosis is usually based on a mental health exam assessing thoughts, feelings, relationships, behavior patterns, and family history; symptom evaluation; personal and medical history;  a key factor is how the person relates to others, with information from family and friends being helpful;  a medical exam helps rule out other medical conditions; diagnosis is typically not made before age 18.","Talk therapy (psychotherapy), including anger and violence management, treatment for substance use, and treatment for other mental health conditions; Cognitive behavioral therapy",Complete blood count (CBC); Medical exam,Information not found
Anxiety disorders,Anxiety disorders,"Psychological evaluation to discuss thoughts, feelings, and behaviors; Comparison of symptoms to DSM-5 criteria; Consideration of co-occurring mental health problems (e.g., depression, substance misuse).","Psychotherapy (including Cognitive Behavioral Therapy (CBT) and exposure therapy); Medications; Lifestyle changes (physical activity, stress management techniques, sleep hygiene, healthy diet); Alternative medicine (herbal remedies, but further research needed).",Information not found,Certain antidepressants; Buspirone; Benzodiazepines (sedatives); Beta blockers.
Aortic dissection,Aortic dissection,Diagnosis can be challenging due to similar symptoms to other conditions.  Key indicators include sudden tearing or ripping chest pain; blood pressure difference between arms; and widening of the aorta on chest X-ray.,Surgery; Medications,Transesophageal echocardiogram (TEE); Computerized tomography (CT) scan of the chest; Magnetic resonance angiogram (MRA),Information not found
Aortic valve disease,Aortic valve disease,"Physical examination, including auscultation for heart murmurs; review of symptoms and medical history.  Further evaluation by a cardiologist may be necessary if a murmur is detected.","Regular health checkups; Lifestyle changes; Medications; Surgery (open-heart, minimally invasive); Catheter-based procedures; Aortic valve repair (including separating fused flaps, adding support, reshaping tissue, patching holes); Aortic valve replacement (mechanical valve replacement; biological valve replacement; Ross procedure); Balloon valvuloplasty; Transcatheter aortic valve replacement (TAVR).","Echocardiogram (standard and transesophageal); Electrocardiogram (ECG or EKG); Chest X-ray; Cardiac MRI; Cardiac computerized tomography (CT) scan; Exercise tests or stress tests; Cardiac catheterization (less frequently used for diagnosis, more often for severity assessment).",Information not found
